DATAFLOW,LAST UPDATE,freq,indic_em,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,EL,2015,1486,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,EL,2016,1500,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,EL,2017,1526,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,EL,2018,1538,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,EL,2019,1593,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,EL,2020,1515,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,EL,2021,1622,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,EL,2022,1709,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,ES,2009,8314,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,ES,2010,8236,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,ES,2011,8203,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,ES,2012,7957,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,ES,2013,7765,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,ES,2014,7847,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,ES,2015,8041,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,ES,2016,8272,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,ES,2017,8487,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,ES,2018,8717,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,ES,2019,8945,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,ES,2020,8669,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,ES,2021,9001,d
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,ES,2022,9290,d
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,FI,2009,1177,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,FI,2010,1157,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,FI,2011,1160,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,FI,2012,1169,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,FI,2013,1160,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,FI,2014,1157,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,FI,2015,1145,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,FI,2016,1141,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,FI,2017,1148,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,FI,2018,1179,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,FI,2019,1189,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,FI,2020,1169,
ESTAT:LFSI_EMP_A(1.0),20/06/23 23:00:00,A,EMP_LFS,F,Y15-64,THS_PER,FI,2021,1198,
