DATAFLOW,LAST UPDATE,freq,indic_is,unit,hhtyp,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,IS,2015,,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,IS,2016,,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,IS,2017,98.29,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,IS,2018,97.82,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,IS,2019,96.78,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,IS,2020,98.21,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,IS,2021,96.48,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,IT,2011,83.92,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,IT,2012,87.53,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,IT,2013,98.42,
ESTAT:ISOC_CI_IT_H(1.0),10/07/23 11:00:00,A,H_BROAD,PC_HH_IACC,TOTAL,IT,2014,97.86,
